address,city,density(sq mi),income(USD),price(USD),age,bds,ba,sqft,state,url,city_wiki,text
2391 Roscomare Rd,Los Angeles,8483.02,49497,29000000,1,32,42,33955,CA,https://www.zillow.com/homedetails/2391-Roscomare-Rd-Los-Angeles-CA-90077/145642986_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
1707 Westridge Rd,LOS ANGELES,8483.02,49497,23495000,1,9,15,16243,CA,https://www.zillow.com/homedetails/1707-Westridge-Rd-Los-Angeles-CA-90049/20546614_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
1813 E Bay Ave,Newport Beach,3645.42,106333,44995000,1,5,8,12710,CA,https://www.zillow.com/homedetails/1813-E-Bay-Ave-Newport-Beach-CA-92661/25135603_zpid/,"https://en.wikipedia.org/wiki/Newport_Beach,_CA","During 2009–2013, Newport Beach had a median household income of $106,333, with 7.9% of the population living below the federal poverty line.[26]"
9828 La Jolla Farms Rd,LA JOLLA,,,19500000,16,5,7,8627,CA,https://www.zillow.com/homedetails/9828-La-Jolla-Farms-Rd-La-Jolla-CA-92037/16834392_zpid/,"https://en.wikipedia.org/wiki/La_Jolla,_CA",
9425 Sunset Blvd,BEVERLY HILLS,6076.91,86141,36000000,51,8,14,12100,CA,https://www.zillow.com/homedetails/9425-Sunset-Blvd-Beverly-Hills-CA-90210/20522439_zpid/,"https://en.wikipedia.org/wiki/Beverly_Hills,_CA","During 2009–2013, Beverly Hills had a median household income of $86,141, with 8.8% of the population living below the federal poverty line.[6]"
23800 Malibu Crest Dr,MALIBU,650.65,133869,85000000,1,7,8.25,15500,CA,https://www.zillow.com/homedetails/23800-Malibu-Crest-Dr-Malibu-CA-90265/20554261_zpid/,"https://en.wikipedia.org/wiki/Malibu,_CA","According to the 2010 United States Census, Malibu had a median household income of $133,869, with 10.6% of the population living below the federal poverty line.[53]"
1201 Laurel Way,BEVERLY HILLS,6076.91,86141,38000000,62,6,8,11200,CA,https://www.zillow.com/homedetails/1201-Laurel-Way-Beverly-Hills-CA-90210/20522020_zpid/,"https://en.wikipedia.org/wiki/Beverly_Hills,_CA","During 2009–2013, Beverly Hills had a median household income of $86,141, with 8.8% of the population living below the federal poverty line.[6]"
12605 Neon Way,Granada Hills,,83911,699000,,4,3,2675,CA,https://www.zillow.com/homedetails/12605-Neon-Way-Granada-Hills-CA-91344/2085876636_zpid/,"https://en.wikipedia.org/wiki/Granada_Hills,_CA","The median yearly household income in 2008 was $83,911. Renters occupied 26.4% of the housing stock. The average household size of 2.9 people was considered average for Los Angeles. The percentages of married men (60.4%) and women (58.5%) were among the county's highest.  There were 4,032 veterans, or 10.5% of the population, a high proportion compared to the rest of the city.[3]"
1000 N Norman Pl,LOS ANGELES,8483.02,49497,18500000,0,8,14,14000,CA,https://www.zillow.com/homedetails/1000-N-Norman-Pl-Los-Angeles-CA-90049/20547014_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
3428 N Riverside Ave,RIALTO,4627.52,41254,275000,70,5,4,1640,CA,https://www.zillow.com/homedetails/3428-N-Riverside-Ave-Rialto-CA-92377/17327043_zpid/,"https://en.wikipedia.org/wiki/Rialto,_CA","The median income for a household in the city is $41,254, and the median income for a family is $42,638. Males have a median income of $34,110 versus $26,640 for females. The per capita income for the city is $13,375. 17.4% of the population and 13.8% of families are below the poverty line. Out of the total population, 21.7% of those under the age of 18 and 9.7% of those 65 and older are living below the poverty line."
75 Beverly Park Ln,BEVERLY HILLS,6076.91,86141,47500000,22,8,10,14554,CA,https://www.zillow.com/homedetails/75-Beverly-Park-Ln-Beverly-Hills-CA-90210/20533549_zpid/,"https://en.wikipedia.org/wiki/Beverly_Hills,_CA","During 2009–2013, Beverly Hills had a median household income of $86,141, with 8.8% of the population living below the federal poverty line.[6]"
25241 Prado Del Grandioso,CALABASAS,1769.15,124583,10980000,11,8,12,14763,CA,https://www.zillow.com/homedetails/25241-Prado-Del-Grandioso-Calabasas-CA-91302/89149375_zpid/,"https://en.wikipedia.org/wiki/Calabasas,_CA","According to the 2010 United States Census, Calabasas had a median household income of $124,583, with 6.6% of the population living below the federal poverty line.[21]"
1172 N Doheny Dr,Los Angeles,8483.02,49497,9300000,1,7,7,6485,CA,https://www.zillow.com/homedetails/1172-N-Doheny-Dr-Los-Angeles-CA-90069/20799494_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
24100 Hidden Ridge Rd,Hidden Hills,,95667,12995000,5,6,7,10876,CA,https://www.zillow.com/homedetails/24100-Hidden-Ridge-Rd-Hidden-Hills-CA-91302/119679793_zpid/,"https://en.wikipedia.org/wiki/Hidden_Hills,_CA","Females had a median income of $95,667. The per capita income for the city was $194,096.  No families and none of the population were below the poverty line."
7541 Shady Glen Cir,Huntington Beach,7448.66,81389,387500,20,2,3,1513,CA,https://www.zillow.com/homedetails/7541-Shady-Glen-Cir-Huntington-Beach-CA-92648/51673517_zpid/,"https://en.wikipedia.org/wiki/Huntington_Beach,_CA","During 2009–2013, Huntington Beach had a median household income of $81,389, with 8.9% of the population living below the federal poverty line.[12]"
1456 E Philadelphia St SPC 378,Ontario,3521.75,54249,179900,0,3,2,1510,CA,https://www.zillow.com/homedetails/1456-E-Philadelphia-St-SPC-378-Ontario-CA-91761/2098879848_zpid/,"https://en.wikipedia.org/wiki/Ontario,_CA","During 2009–2013, Ontario had a median household income of $54,249, with 18.1% of the population living below the federal poverty line.[28]"
9133 Oriole Way,West Hollywood,19447.8,52649,29000000,4,6,10,12530,CA,https://www.zillow.com/homedetails/9133-Oriole-Way-West-Hollywood-CA-90069/20799194_zpid/,"https://en.wikipedia.org/wiki/West_Hollywood,_CA","During 2009–2013, West Hollywood had a median household income of $52,649, with 15.8% of the population living below the federal poverty line.[123]"
27500 La Vida Real,LOS ALTOS HILLS,952.6,219485,49990000,9,5,12,20982,CA,https://www.zillow.com/homedetails/27500-La-Vida-Real-Los-Altos-Hills-CA-94022/69299302_zpid/,"https://en.wikipedia.org/wiki/Los_Altos_Hills,_CA","The median income for a household in the town was $219,485, and the median income for a family was $224,922. Males had a median income of $152,361 versus $89,216 for females. The per capita income for the town was $118,779. About 2.2% of families and 2.6% of the population were below the poverty line, including 0.7% of those under age 18 and 3.8% of those age 65 or over."
1400 Mission St APT 810,San Francisco,18860,65519,310484,4,1,1,631,CA,https://www.zillow.com/homedetails/1400-Mission-St-APT-810-San-Francisco-CA-94103/241585150_zpid/,"https://en.wikipedia.org/wiki/San_Francisco,_CA","As of 2017, it was the seventh-highest income county in the United States, with a per capita personal income of $119,868.[21] As of 2015, San Francisco proper had a GDP of $154 billion, and a GDP per capita of ~$178,000.[22][23] The San Francisco CSA was the country's third-largest urban economy as of 2017, with a GDP of $907 billion.[24]  Of the 500+ primary statistical areas in the US, the San Francisco CSA had among the highest GDP per capita in 2017, at $93,938.[24] San Francisco was ranked 14th in the world and third in the United States on the Global Financial Centres Index as of September 2018.[25]"
1231 Lago Vista Dr,BEVERLY HILLS,6076.91,86141,39500000,3,7,11,14173,CA,https://www.zillow.com/homedetails/1231-Lago-Vista-Dr-Beverly-Hills-CA-90210/20522701_zpid/,"https://en.wikipedia.org/wiki/Beverly_Hills,_CA","During 2009–2013, Beverly Hills had a median household income of $86,141, with 8.8% of the population living below the federal poverty line.[6]"
6241 Warner Ave SPC 207,Huntington Beach,7448.66,81389,174900,25,4,2,1350,CA,https://www.zillow.com/homedetails/6241-Warner-Ave-SPC-207-Huntington-Beach-CA-92647/2086424848_zpid/,"https://en.wikipedia.org/wiki/Huntington_Beach,_CA","During 2009–2013, Huntington Beach had a median household income of $81,389, with 8.9% of the population living below the federal poverty line.[12]"
17405 Cumpston St,Encino,,78529,4995000,1,6,10,10044,CA,https://www.zillow.com/homedetails/17405-Cumpston-St-Encino-CA-91316/2087115202_zpid/,"https://en.wikipedia.org/wiki/Encino,_CA","The median yearly household income in 2008 dollars was $78,529, considered high for the city. The percentage of households that earned $125,000 and up was high for Los Angeles County. The average household size of 2.3 people was low when compared to the rest of the city and the county. Renters occupied 38.4% of the housing stock and house- or apartment-owners held 61.6%.[3]"
2820 Scott St,San Francisco,18860,65519,27500000,115,7,11,16000,CA,https://www.zillow.com/homedetails/2820-Scott-St-San-Francisco-CA-94123/2143821426_zpid/,"https://en.wikipedia.org/wiki/San_Francisco,_CA","As of 2017, it was the seventh-highest income county in the United States, with a per capita personal income of $119,868.[21] As of 2015, San Francisco proper had a GDP of $154 billion, and a GDP per capita of ~$178,000.[22][23] The San Francisco CSA was the country's third-largest urban economy as of 2017, with a GDP of $907 billion.[24]  Of the 500+ primary statistical areas in the US, the San Francisco CSA had among the highest GDP per capita in 2017, at $93,938.[24] San Francisco was ranked 14th in the world and third in the United States on the Global Financial Centres Index as of September 2018.[25]"
6750 Fig St,RIVERSIDE,4034.57,,285000,72,3,2,1432,CA,https://www.zillow.com/homedetails/6750-Fig-St-Riverside-CA-92506/17850075_zpid/,"https://en.wikipedia.org/wiki/Riverside,_CA","The trees thrived in the southern California climate and the navel orange industry grew rapidly. Many growers purchased bud wood and then grafted the cuttings to root stock. Within a few years, the successful cultivation of many thousands of the newly discovered Brazilian navel orange led to a California Gold Rush of a different kind: the establishment of the citrus industry, which is commemorated in the landscapes and exhibits of the California Citrus State Historic Park and the restored packing houses in the downtown's Marketplace district. By 1882, there were more than half a million citrus trees in California, almost half of which were in Riverside. The development of refrigerated railroad cars and innovative irrigation systems established Riverside as the richest city in the United States (in terms of income per capita) by 1895.[17]"
1208 E Leigh Ct,Long Beach,9343.55,52711,198000,97,2,1,722,CA,https://www.zillow.com/homedetails/1208-E-Leigh-Ct-Long-Beach-CA-90806/21197289_zpid/,"https://en.wikipedia.org/wiki/Long_Beach,_CA","During 2009–2013, Long Beach had a median household income of $52,711, with 20.2% of the population living below the federal poverty line.[11]"
1143 Ravoli Dr,Pacific Palisades,,,24450000,1,8,12,13777,CA,https://www.zillow.com/homedetails/1143-Ravoli-Dr-Pacific-Palisades-CA-90272/244498794_zpid/,"https://en.wikipedia.org/wiki/Pacific_Palisades,_CA",
3325 82nd Ave,OAKLAND,7514.45,,499000,81,2,1,1094,CA,https://www.zillow.com/homedetails/3325-82nd-Ave-Oakland-CA-94605/24794218_zpid/,"https://en.wikipedia.org/wiki/Oakland,_CA","The greater Oakland area has the fifth largest cluster of ""elite zip codes"" ranked by the number of households with the highest combination of income and education.[81] 37.9% of residents over 25 years of age have bachelor's degree or higher.[82] Oakland ranked among the top cities with residents with bachelor's degrees and graduate degrees per square mile.[83]"
11585 Spruce Run Dr,SAN DIEGO,4325.5,45733,1249000,21,6,4,3562,CA,https://www.zillow.com/homedetails/11585-Spruce-Run-Dr-San-Diego-CA-92131/16824653_zpid/,"https://en.wikipedia.org/wiki/San_Diego,_CA","In 2000, the median income for a household in the city was $45,733, and the median income for a family was $53,060. Males had a median income of $36,984 versus $31,076 for females. The per capita income for the city was $35,199.[107] According to Forbes in 2005, San Diego was the fifth wealthiest U.S. city[108] but about 10.6% of families and 14.6% of the population were below the poverty line, including 20.0% of those under age 18 and 7.6% of those age 65 or over.[107] San Diego was rated the fifth-best place to live in the United States in 2006 by Money magazine,[109] although it was no longer rated in the top 100 places by 2017.[110] As of January 1, 2008 estimates by the San Diego Association of Governments revealed that the household median income for San Diego rose to $66,715, up from $45,733 in 2000.[111]"
1006 Chantilly Rd,LOS ANGELES,8483.02,49497,15000000,5,7,10,10000,CA,https://www.zillow.com/homedetails/1006-Chantilly-Rd-Los-Angeles-CA-90077/20529214_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
1836 Cindy St,San Diego,4325.5,45733,90000,43,3,2,820,CA,https://www.zillow.com/homedetails/1836-Cindy-St-San-Diego-CA-92154/140633943_zpid/,"https://en.wikipedia.org/wiki/San_Diego,_CA","In 2000, the median income for a household in the city was $45,733, and the median income for a family was $53,060. Males had a median income of $36,984 versus $31,076 for females. The per capita income for the city was $35,199.[107] According to Forbes in 2005, San Diego was the fifth wealthiest U.S. city[108] but about 10.6% of families and 14.6% of the population were below the poverty line, including 20.0% of those under age 18 and 7.6% of those age 65 or over.[107] San Diego was rated the fifth-best place to live in the United States in 2006 by Money magazine,[109] although it was no longer rated in the top 100 places by 2017.[110] As of January 1, 2008 estimates by the San Diego Association of Governments revealed that the household median income for San Diego rose to $66,715, up from $45,733 in 2000.[111]"
701 E Orange Grove Blvd,PASADENA,6181.05,69302,330000,40,2,2,948,CA,https://www.zillow.com/homedetails/701-E-Orange-Grove-Blvd-Pasadena-CA-91104/20866510_zpid/,"https://en.wikipedia.org/wiki/Pasadena,_CA","According to the 2010 United States Census, Pasadena had a median household income of $69,302, with 13.2% of the population living below the federal poverty line.[39]"
10778 Chalon Rd,Los Angeles,8483.02,49497,35000000,92,7,6,11200,CA,https://www.zillow.com/homedetails/10778-Chalon-Rd-Los-Angeles-CA-90077/20526741_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
3990 Washington St,San Francisco,18860,65519,11500000,110,6,6.5,7600,CA,https://www.zillow.com/homedetails/3990-Washington-St-San-Francisco-CA-94118/2088100129_zpid/,"https://en.wikipedia.org/wiki/San_Francisco,_CA","As of 2017, it was the seventh-highest income county in the United States, with a per capita personal income of $119,868.[21] As of 2015, San Francisco proper had a GDP of $154 billion, and a GDP per capita of ~$178,000.[22][23] The San Francisco CSA was the country's third-largest urban economy as of 2017, with a GDP of $907 billion.[24]  Of the 500+ primary statistical areas in the US, the San Francisco CSA had among the highest GDP per capita in 2017, at $93,938.[24] San Francisco was ranked 14th in the world and third in the United States on the Global Financial Centres Index as of September 2018.[25]"
24051 Long Valley Rd,Hidden Hills,,95667,17500000,36,7,9,11850,CA,https://www.zillow.com/homedetails/24051-Long-Valley-Rd-Hidden-Hills-CA-91302/19882864_zpid/,"https://en.wikipedia.org/wiki/Hidden_Hills,_CA","Females had a median income of $95,667. The per capita income for the city was $194,096.  No families and none of the population were below the poverty line."
15111 Pipeline Ave,Chino Hills,1764.15,,219000,0,3,2,1541,CA,https://www.zillow.com/homedetails/15111-Pipeline-Ave-Chino-Hills-CA-91709/82918444_zpid/,"https://en.wikipedia.org/wiki/Chino_Hills,_CA","Chino Hills was ranked 30th in Money magazine's ""Best places to live 2012.""[14] It is also the 6th highest income place in the United States (with population 65,000 to 250,000)[15] and was ranked as the 11th safest city in the United States in 2011 by the FBI., and 7th safest city overall in the U.S. in 2016, also according to FBI crime data.[16] Chino Hills is a part of the Chino Valley."
2078 Stradella Rd,LOS ANGELES,8483.02,49497,5995000,63,6,9,15000,CA,https://www.zillow.com/homedetails/2078-Stradella-Rd-Los-Angeles-CA-90077/20530384_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
1029 Hanover Dr,BEVERLY HILLS,6076.91,86141,39995000,1,5,8,12000,CA,https://www.zillow.com/homedetails/1029-Hanover-Dr-Beverly-Hills-CA-90210/20522338_zpid/,"https://en.wikipedia.org/wiki/Beverly_Hills,_CA","During 2009–2013, Beverly Hills had a median household income of $86,141, with 8.8% of the population living below the federal poverty line.[6]"
6722 Burdett Way,SACRAMENTO,5057.33,37049,284900,59,3,2,1254,CA,https://www.zillow.com/homedetails/6722-Burdett-Way-Sacramento-CA-95823/25840479_zpid/,"https://en.wikipedia.org/wiki/Sacramento,_CA","The median income for a household in the city is $37,049, and the median income for a family is $42,051. Males have a median income of $35,946 versus $31,318 for females. The per capita income for the city is $18,721. 20.0% of the population and 15.3% of families are below the poverty line. Out of the total population, 29.5% of those under the age of 18 and 9.0% of those 65 and older are living below the poverty line."
1469 Bel Air Rd,Los Angeles,8483.02,49497,14950000,1,7,12,12339,CA,https://www.zillow.com/homedetails/1469-Bel-Air-Rd-Los-Angeles-CA-90077/20529570_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
1744 Stone Canyon Rd,LOS ANGELES,8483.02,49497,6750000,15,6,8,7800,CA,https://www.zillow.com/homedetails/1744-Stone-Canyon-Rd-Los-Angeles-CA-90077/20529449_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
1802 Princeton Ave,STOCKTON,4979.52,35453,199900,77,3,2,1503,CA,https://www.zillow.com/homedetails/1802-Princeton-Ave-Stockton-CA-95204/15310295_zpid/,"https://en.wikipedia.org/wiki/Stockton,_CA","The median income for a household in the city was $35,453, and the median income for a family was $40,434. Males had a median income of $35,181 versus $26,602 for females. The per capita income for the city was $15,405. 23.9% of the population and 18.9% of families were below the poverty line.  32.8% of those under the age of 18 and 11.9% of those 65 and older were living below the poverty line."
993 Dolores St,San Francisco,18860,65519,899000,111,2,2,1175,CA,https://www.zillow.com/homedetails/993-Dolores-St-San-Francisco-CA-94110/2086204887_zpid/,"https://en.wikipedia.org/wiki/San_Francisco,_CA","As of 2017, it was the seventh-highest income county in the United States, with a per capita personal income of $119,868.[21] As of 2015, San Francisco proper had a GDP of $154 billion, and a GDP per capita of ~$178,000.[22][23] The San Francisco CSA was the country's third-largest urban economy as of 2017, with a GDP of $907 billion.[24]  Of the 500+ primary statistical areas in the US, the San Francisco CSA had among the highest GDP per capita in 2017, at $93,938.[24] San Francisco was ranked 14th in the world and third in the United States on the Global Financial Centres Index as of September 2018.[25]"
5301 Amestoy Ave,ENCINO,,78529,5475000,0,6,10,8500,CA,https://www.zillow.com/homedetails/5301-Amestoy-Ave-Encino-CA-91316/19979327_zpid/,"https://en.wikipedia.org/wiki/Encino,_CA","The median yearly household income in 2008 dollars was $78,529, considered high for the city. The percentage of households that earned $125,000 and up was high for Los Angeles County. The average household size of 2.3 people was low when compared to the rest of the city and the county. Renters occupied 38.4% of the housing stock and house- or apartment-owners held 61.6%.[3]"
1940 Bel Air Rd,LOS ANGELES,8483.02,49497,27995000,6,8,15,16590,CA,https://www.zillow.com/homedetails/1940-Bel-Air-Rd-Los-Angeles-CA-90077/20529501_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
61 Faxon Rd,Atherton,1438.97,,26500000,1,7,12,13014,CA,https://www.zillow.com/homedetails/61-Faxon-Rd-Atherton-CA-94027/15593641_zpid/,"https://en.wikipedia.org/wiki/Atherton,_CA","Atherton is an incorporated town in San Mateo County, California, United States. Its population was 7,159 as of 2013. In 1990, Atherton was ranked as having the highest per capita income among U.S. towns with a population between 2,500 and 9,999,[11] and it is regularly ranked as the most expensive ZIP Code in the United States.[12][13][14]"
517 N Rexford Dr,BEVERLY HILLS,6076.91,86141,12495000,13,6,9,9564,CA,https://www.zillow.com/homedetails/517-N-Rexford-Dr-Beverly-Hills-CA-90210/20521050_zpid/,"https://en.wikipedia.org/wiki/Beverly_Hills,_CA","During 2009–2013, Beverly Hills had a median household income of $86,141, with 8.8% of the population living below the federal poverty line.[6]"
23777 Mulholland Hwy SPC 162,Calabasas,1769.15,124583,209500,46,3,2,1488,CA,https://www.zillow.com/homedetails/23777-Mulholland-Hwy-SPC-162-Calabasas-CA-91302/2134536752_zpid/,"https://en.wikipedia.org/wiki/Calabasas,_CA","According to the 2010 United States Census, Calabasas had a median household income of $124,583, with 6.6% of the population living below the federal poverty line.[21]"
3701 Catalina Dr,Carlsbad,3019.48,105000,699000,43,5,3,2127,CA,https://www.zillow.com/homedetails/3701-Catalina-Dr-Carlsbad-CA-92010/2085620347_zpid/,"https://en.wikipedia.org/wiki/Carlsbad,_CA","Carlsbad is a city in North County, San Diego County, California, United States. The city is 87 miles (140 km) south of Los Angeles and 35 miles (56 km) north of downtown San Diego and is part of the San Diego-Carlsbad, CA Metropolitan Statistical Area. Referred to as ""The Village by the Sea"" by locals, Carlsbad is a tourist destination.  The city's estimated 2014 population was 112,299.[9] Among the nation's top 20 wealthiest communities, Carlsbad is the 5th richest city in the state of California with a median household income close to US$105,000.[10]"
1160 Shadow Hill Way,BEVERLY HILLS,6076.91,86141,19995000,39,5,8,10370,CA,https://www.zillow.com/homedetails/1160-Shadow-Hill-Way-Beverly-Hills-CA-90210/20522007_zpid/,"https://en.wikipedia.org/wiki/Beverly_Hills,_CA","During 2009–2013, Beverly Hills had a median household income of $86,141, with 8.8% of the population living below the federal poverty line.[6]"
5889 Jed Smith Rd,Hidden Hills,,95667,14995000,11,7,12,12351,CA,https://www.zillow.com/homedetails/5889-Jed-Smith-Rd-Hidden-Hills-CA-91302/19882707_zpid/,"https://en.wikipedia.org/wiki/Hidden_Hills,_CA","Females had a median income of $95,667. The per capita income for the city was $194,096.  No families and none of the population were below the poverty line."
25860 Chalmers Pl,Calabasas,1769.15,124583,3895000,24,7,8,6947,CA,https://www.zillow.com/homedetails/25860-Chalmers-Pl-Calabasas-CA-91302/19883232_zpid/,"https://en.wikipedia.org/wiki/Calabasas,_CA","According to the 2010 United States Census, Calabasas had a median household income of $124,583, with 6.6% of the population living below the federal poverty line.[21]"
3432 Pinebrook,Costa Mesa,7175.6,65830,418000,43,3,2,1480,CA,https://www.zillow.com/homedetails/3432-Pinebrook-Costa-Mesa-CA-92626/2109776309_zpid/,"https://en.wikipedia.org/wiki/Costa_Mesa,_CA","During 2009–2013, Costa Mesa had a median household income of $65,830, with 15.1% of the population living below the poverty line.[11]"
14000 Calle Real,GOLETA,3929.44,60314,110000000,4,10,21,360,CA,https://www.zillow.com/homedetails/14000-Calle-Real-Goleta-CA-93117/15917936_zpid/,"https://en.wikipedia.org/wiki/Goleta,_CA","The median income for a household in the CDP was $60,314, and the median income for a family was $67,956 (these figures had risen to $69,242 and $81,862 respectively as of a 2007 estimate.[49] Males had a median income of $44,770 versus $32,127 for females. The per capita income for the CDP was $28,890.  About 2.9% of families and 6.7% of the population were below the poverty line, including 4.8% of those under age 18 and 4.4% of those age 65 or over."
7575 Hill Rd,Granite Bay,950,115980,500000,42,4,3,1957,CA,https://www.zillow.com/homedetails/7575-Hill-Rd-Granite-Bay-CA-95746/17677801_zpid/,"https://en.wikipedia.org/wiki/Granite_Bay,_CA","According to a 2007 estimate, the median income for a household in the CDP was $115,980, and the median income for a family was $119,874.[9] Males had a median income of $100,000+ versus $73,190 for females. The per capita income for the CDP was $57,970.  About 1.5% of families and 2.1% of the population were below the poverty line, including 1.9% of those under age 18 and 2.3% of those age 65 or over.  Granite Bay is named top 25 American cities in the nation for highest  cost of living.[citation needed]"
643 Cragmont Ave,BERKELEY,11683.28,60908,795000,91,2,1,843,CA,https://www.zillow.com/homedetails/643-Cragmont-Ave-Berkeley-CA-94708/24848218_zpid/,"https://en.wikipedia.org/wiki/Berkeley,_CA","According to the 2011 American Community Survey 5-Year estimate, the median income for a household in the city was $60,908, and the median income for a family was $102,976.[61] Males had a median income of $67,476 versus $57,319 for females. The per capita income for the city was $38,896. About 7.2% of families and 18.3% of the population were below the poverty line, including 13.2% of those under age 18 and 9.2% of those age 65 or over."
3154 Riley Rd,SOLVANG,2392.58,,299000,42,4,2,2446,CA,https://www.zillow.com/homedetails/3154-Riley-Rd-Solvang-CA-93463/15957388_zpid/,"https://en.wikipedia.org/wiki/Solvang,_CA","At the end of 1912, when it became almost impossible to sell any more plots of land, the company's income was vastly reduced. The shareholders persuaded Gregersen to give up his position as Solvang's pastor and travel to Iowa and Nebraska to convince Danish immigrants to buy land in the new colony. He enjoyed considerable success, relieving the colony of any further threats. After Gregersen's departure, Nordentoft became the pastor. Before long, Solvang also had a store, a bank, a lumber yard, a barbershop and a post office with Hornsyld as postmaster. Where there had just been fields, there was now a small town.[17]"
1220 Tasman Dr SPC 271,Sunnyvale,6949.51,,278800,20,2,2,1319,CA,https://www.zillow.com/homedetails/1220-Tasman-Dr-SPC-271-Sunnyvale-CA-94089/2101358281_zpid/,"https://en.wikipedia.org/wiki/Sunnyvale,_CA",
5148 Main Ave,Orangevale,2900,53371,200000,,,1,2085,CA,https://www.zillow.com/homedetails/5148-Main-Ave-Orangevale-CA-95662/2085516374_zpid/,"https://en.wikipedia.org/wiki/Orangevale,_CA","The median income for a household in the CDP was $53,371, and the median income for a family was $60,822. Males had a median income of $43,712 versus $31,510 for females. The per capita income for the CDP was $24,658.  About 5.1% of families and 6.9% of the population were below the poverty line, including 7.5% of those under age 18 and 4.0% of those age 65 or over."
813 N Alpine Dr,BEVERLY HILLS,6076.91,86141,21999000,7,6,10,11000,CA,https://www.zillow.com/homedetails/813-N-Alpine-Dr-Beverly-Hills-CA-90210/20519817_zpid/,"https://en.wikipedia.org/wiki/Beverly_Hills,_CA","During 2009–2013, Beverly Hills had a median household income of $86,141, with 8.8% of the population living below the federal poverty line.[6]"
2622 N Tustin Ave UNIT A,Santa Ana,12311.83,53335,204900,44,2,2,1283,CA,https://www.zillow.com/homedetails/2622-N-Tustin-Ave-UNIT-A-Santa-Ana-CA-92705/2093199095_zpid/,"https://en.wikipedia.org/wiki/Santa_Ana,_CA","During 2009–2013, Santa Ana had a median household income of $53,335, with 21.5% of the population living below the federal poverty line.[33]"
1062 Maroney Ln,Pacific Palisades,,,7675000,1,6,10,7597,CA,https://www.zillow.com/homedetails/1062-Maroney-Ln-Pacific-Palisades-CA-90272/244110100_zpid/,"https://en.wikipedia.org/wiki/Pacific_Palisades,_CA",
1160 Mission St UNIT 709,SAN FRANCISCO,18860,65519,287274,11,1,1,764,CA,https://www.zillow.com/homedetails/1160-Mission-St-UNIT-709-San-Francisco-CA-94103/83127981_zpid/,"https://en.wikipedia.org/wiki/San_Francisco,_CA","As of 2017, it was the seventh-highest income county in the United States, with a per capita personal income of $119,868.[21] As of 2015, San Francisco proper had a GDP of $154 billion, and a GDP per capita of ~$178,000.[22][23] The San Francisco CSA was the country's third-largest urban economy as of 2017, with a GDP of $907 billion.[24]  Of the 500+ primary statistical areas in the US, the San Francisco CSA had among the highest GDP per capita in 2017, at $93,938.[24] San Francisco was ranked 14th in the world and third in the United States on the Global Financial Centres Index as of September 2018.[25]"
4130 Calle Isabella,SAN CLEMENTE,3557.91,87184,44000000,12,7,10,12854,CA,https://www.zillow.com/homedetails/4130-Calle-Isabella-San-Clemente-CA-92672/25145236_zpid/,"https://en.wikipedia.org/wiki/San_Clemente,_CA","According to the 2010 United States Census, San Clemente had a median household income of $87,184, with 7.9% of the population living below the federal poverty line.[12]"
4730 San Rafael Ave,LOS ANGELES,8483.02,49497,649900,95,2,2,1831,CA,https://www.zillow.com/homedetails/4730-San-Rafael-Ave-Los-Angeles-CA-90042/20763281_zpid/,"https://en.wikipedia.org/wiki/Los_Angeles,_CA","According to the 2010 United States Census, Los Angeles had a median household income of $49,497, with 22.0% of the population living below the federal poverty line.[102]"
4921 Azucena Rd,WOODLAND HILLS,,,3499000,16,5,6,6208,CA,https://www.zillow.com/homedetails/4921-Azucena-Rd-Woodland-Hills-CA-91364/19900115_zpid/,"https://en.wikipedia.org/wiki/Woodland_Hills,_CA",
